"","PopNumber","PopName","Year","ML","ShelfNumber","ShelfPlacement","CorollaWidth","CorollaLength","Stress","measurementWave","Nectar","ID","ASD","cw_adj","cl_adj","asd_adj","brix_adj","normCW","normCL","normASD","normBrix","facYear","PopulationName","State","FieldType","Lat","Long","NumberIndsED50"
"1","1","Billings",2003,"3",15,4,44.56,52.3,0,1,NA,"15.4",-0.120000000000001,0.966547502235439,1.03861097643766,0.223527252706921,NA,-0.232339091597926,0.370922584979772,0.148721495368668,NA,"2003","billings","TN","Corn",35.775237,-85.903419,62
"2","1","Billings",2003,"3",10,1,38.76,58.41,0,2,3.4,"10.1",-5.47,0.840740152303537,1.15994774634271,10.1891172692237,1.13918509372545,-1.03089139433365,0.578633866292716,-1.89970941298753,0.43533872103411,"2003","billings","TN","Corn",35.775237,-85.903419,62
"3","1","Billings",2012,"32",9,10,34.89,40.72,0,1,NA,"9.10",-1.15,0.753784265094479,0.805494662290999,1.65987055016182,NA,-1.74781878720861,-1.47475188820197,-0.161817050987757,NA,"2012","billings","TN","Corn",35.775237,-85.903419,62
"4","1","Billings",2012,"32",14,18,NA,NA,0,2,2.6,"14.18",NA,NA,NA,NA,0.806394486191547,NA,NA,NA,-0.0232116052123849,"2012","billings","TN","Corn",35.775237,-85.903419,62
"5","1","Billings",2003,"3",2,7,NA,NA,0,2,0.8,"2.7",NA,NA,NA,NA,0.268043551464811,NA,NA,NA,-1.43687410565289,"2003","billings","TN","Corn",35.775237,-85.903419,62
"6","1","Billings",2012,"18",19,8,38.27,40.57,0,2,1.1,"19.8",-4,0.826807790919052,0.802527466825782,5.77346278317152,0.341166898004116,-0.757418182801174,-1.49910421409049,-1.35197703887235,-1.12086418255339,"2012","billings","TN","Corn",35.775237,-85.903419,62
"7","1","Billings",2012,"32",9,10,45.51,54.12,0,1,NA,"9.10",-4.04,0.983225047419024,1.07056412385041,5.83119741100324,NA,0.237445092016219,0.544397836088112,-1.39034376454859,NA,"2012","billings","TN","Corn",35.775237,-85.903419,62
"8","1","Billings",2003,"8",5,14,44.6,50.41,0,2,0,"5.14",1.08,0.967415139131521,1.00107799851286,-2.01174527436227,0,-0.226753396978369,0.272797799993428,0.578067732971695,-2.19066958102797,"2003","billings","TN","Corn",35.775237,-85.903419,62
"9","1","Billings",2003,"5",3,7,50.2,53.03,0,1,2.8,"3.7",-2.37,1.08888430458301,1.05310784092714,4.41466324096165,0.938152430126838,0.565150629027257,0.403535734969806,-0.645067544089138,0.0609189147939101,"2003","billings","TN","Corn",35.775237,-85.903419,62
"10","1","Billings",2003,"8",5,14,NA,NA,0,2,0,"5.14",NA,NA,NA,NA,0,NA,NA,NA,-2.19066958102797,"2003","billings","TN","Corn",35.775237,-85.903419,62
"11","1","Billings",2003,"8",9,15,NA,NA,0,2,2,"9.15",NA,NA,NA,NA,0.670108878662027,NA,NA,NA,-0.311469289368747,"2003","billings","TN","Corn",35.775237,-85.903419,62
"12","1","Billings",2012,"18",2,6,NA,NA,0,2,3.4,"2.6",NA,NA,NA,NA,1.05451586655818,NA,NA,NA,0.392830813649729,"2012","billings","TN","Corn",35.775237,-85.903419,62
"13","1","Billings",2012,"32",7,11,40.01,58.48,0,1,NA,"7.11",3.05,0.864399783503299,1.15681060537273,-4.40226537216828,NA,-0.417792525681581,1.14594031101255,1.67379750135915,NA,"2012","billings","TN","Corn",35.775237,-85.903419,62
"14","1","Billings",2003,"5",2,8,50.19,51.86,0,1,NA,"2.8",2.66,1.08866739535899,1.02987314030702,-4.95485410167004,NA,0.56371952365205,0.349933425255094,1.24856926381867,NA,"2003","billings","TN","Corn",35.775237,-85.903419,62
"15","1","Billings",2003,"3",10,1,32.62,44.47,1,1,NA,"10.1",-2.51,0.707557888754937,0.883117210749194,4.67544503578639,NA,-1.84958616204895,-0.230781116172139,-0.728449846343837,NA,"2003","billings","TN","Corn",35.775237,-85.903419,62
"16","1","Billings",2003,"3",15,4,50.7,54.64,0,2,5,"15.4",NA,1.09972976578404,1.0850803776779,NA,1.67527219665507,0.636780873416833,0.466807583335355,NA,1.00846177225033,"2003","billings","TN","Corn",35.775237,-85.903419,62
"17","1","Billings",2012,"18",8,4,39.29,45.46,0,2,1,"8.4",-2.55,0.848844476227059,0.899258038991867,3.68058252427185,0.310151725458287,-0.54771826444305,-0.72708685027975,-0.783245756102463,-1.26244105678619,"2012","billings","TN","Corn",35.775237,-85.903419,62
"18","1","Billings",2012,"18",19,8,41.19,39.33,0,2,1.6,"19.8",-2.93,0.889893203761582,0.777998650979985,4.22906148867314,0.49624276073326,-0.232259267126275,-1.70216634373344,-0.937928770911634,-0.689131147209014,"2012","billings","TN","Corn",35.775237,-85.903419,62
"19","1","Billings",2003,"8",16,17,48.27,57.19,0,2,0,"16.17",-10.02,1.04702082434705,1.13572010979866,18.6645256010277,0,0.290050984308082,0.547119991728363,-2.64330184746527,-2.19066958102797,"2003","billings","TN","Corn",35.775237,-85.903419,62
"20","1","Billings",2003,"3",2,7,52.72,56.44,0,2,0.7,"2.7",-1.52,1.14354542903618,1.12082607093961,2.8313452009543,0.234538107531709,0.927644277842126,0.525689937747859,-0.292224549645513,-1.51814351057054,"2003","billings","TN","Corn",35.775237,-85.903419,62
"21","1","Billings",2003,"8",5,14,36.38,56.54,0,1,0.6,"5.14",2.52,0.789115756986653,1.12281194278748,-4.6940723068453,0.201032663598608,-1.35167874956747,0.52864470483793,1.20489711798309,-1.55224749764854,"2003","billings","TN","Corn",35.775237,-85.903419,62
"22","1","Billings",2003,"5",3,7,58.25,58.93,0,1,3,"3.7",0.270000000000003,1.26349622991953,1.17027427995165,-0.502936318590573,1.00516331799304,1.73556019723026,0.59092532558455,0.245279869874352,0.173006184801235,"2003","billings","TN","Corn",35.775237,-85.903419,62
"23","1","Billings",2012,"32",7,11,NA,NA,0,2,1,"7.11",NA,NA,NA,NA,0.310151725458287,NA,NA,NA,-1.26244105678619,"2012","billings","TN","Corn",35.775237,-85.903419,62
"24","1","Billings",2012,"18",2,6,42.15,41.87,0,1,5,"2.6",3.13,0.910633613463236,0.828243160857665,-4.51773462783172,1.55075862729144,-0.102717765574217,-1.28952151650539,1.69705586814061,0.836670549241373,"2012","billings","TN","Corn",35.775237,-85.903419,62
"25","1","Billings",2003,"5",8,1,42.05,34.88,0,1,NA,"8.1",-1.35,0.912103287006288,0.692672100538158,2.51468159295283,NA,-0.580736446998035,-2.72097034481187,-0.258025119986722,NA,"2003","billings","TN","Corn",35.775237,-85.903419,62
"26","1","Billings",2012,"32",7,11,33.84,52.53,0,1,NA,"7.11",2.93,0.731099441983295,1.03911185191911,-4.22906148867314,NA,-2.18524146262186,0.319027721053082,1.60216970776398,NA,"2012","billings","TN","Corn",35.775237,-85.903419,62
"27","1","Billings",2012,"18",12,17,44.07,40.39,0,1,NA,"12.17",-0.850000000000001,0.952114432866543,0.798966832267521,1.22686084142395,NA,0.110100354255908,-1.52838650753898,-0.0562320483265627,NA,"2012","billings","TN","Corn",35.775237,-85.903419,62
"28","1","Billings",2003,"3",16,11,48.96,54.95,0,2,1.8,"16.11",-5.31,1.06198756080447,1.0912365804063,9.89108093228115,0.603097990795824,0.388146153376503,0.477769580969917,-1.85190539668225,-0.474924383506424,"2003","billings","TN","Corn",35.775237,-85.903419,62
"29","1","Billings",2012,"18",8,4,40.36,38.53,0,1,2.8,"8.4",-1.32,0.871961391207027,0.762173608498826,1.9052427184466,0.868424831283205,-0.35942430579676,-1.83487708762715,-0.226737580936197,0.0541820477949194,"2012","billings","TN","Corn",35.775237,-85.903419,62
"30","1","Billings",2012,"32",5,2,NA,NA,0,1,2.4,"5.2",NA,NA,NA,NA,0.74436414109989,NA,NA,NA,-0.110469500295907,"2012","billings","TN","Corn",35.775237,-85.903419,62
"31","1","Billings",2012,"18",12,17,NA,NA,0,2,1.6,"12.17",NA,NA,NA,NA,0.49624276073326,NA,NA,NA,-0.689131147209014,"2012","billings","TN","Corn",35.775237,-85.903419,62
"32","1","Billings",2003,"8",16,17,NA,NA,0,2,1.6,"16.17",NA,NA,NA,NA,0.536087102929622,NA,NA,NA,-0.546693071878891,"2003","billings","TN","Corn",35.775237,-85.903419,62
"33","1","Billings",2003,"3",10,1,58.31,48.73,0,1,NA,"10.1",-0.509999999999998,1.26479768526365,0.967715351468591,0.949990824004401,NA,1.74441615861212,0.165432322541567,0.0494117894650419,NA,"2003","billings","TN","Corn",35.775237,-85.903419,62
"34","1","Billings",2003,"8",19,18,NA,NA,0,2,0.4,"19.18",NA,NA,NA,NA,0.134021775732405,NA,NA,NA,-1.70188344674153,"2003","billings","TN","Corn",35.775237,-85.903419,62
"35","1","Billings",2003,"8",5,14,NA,NA,0,2,0,"5.14",NA,NA,NA,NA,0,NA,NA,NA,-2.19066958102797,"2003","billings","TN","Corn",35.775237,-85.903419,62
"36","1","Billings",2012,"18",8,4,40.52,45.86,0,2,2,"8.4",-1.67,0.875418126157303,0.907170560232447,2.41042071197411,0.620303450916575,-0.333714374494178,-0.66581716545206,-0.398064068507269,-0.437102468686399,"2012","billings","TN","Corn",35.775237,-85.903419,62
"37","1","Billings",2003,"5",2,8,NA,NA,0,2,1.2,"2.8",NA,NA,NA,NA,0.402065327197216,NA,NA,NA,-0.84701829412646,"2003","billings","TN","Corn",35.775237,-85.903419,62
"38","1","Billings",2003,"8",9,15,49.49,52.42,0,1,NA,"9.15",1.35,1.07348374967756,1.04099402265511,-2.51468159295284,NA,0.463689211907917,0.376468397680035,0.736523533598837,NA,"2003","billings","TN","Corn",35.775237,-85.903419,62
"39","1","Billings",2003,"8",16,17,45.64,51.62,0,2,0,"16.17",-2.23,0.989973698429655,1.02510704787213,4.1538814461369,0,-0.0811638066568108,0.338035763216197,-0.582939069299416,-2.19066958102797,"2003","billings","TN","Corn",35.775237,-85.903419,62
"40","1","Billings",2012,"32",5,2,46.05,52.32,0,1,3,"5.2",-2.13,0.994891527876204,1.03495777826781,3.07436893203883,0.930455176374862,0.279384755038551,0.289008262145522,-0.568778117825266,0.204499781194164,"2012","billings","TN","Corn",35.775237,-85.903419,62
"41","1","Billings",2003,"5",8,1,NA,NA,0,2,1.2,"8.1",NA,NA,NA,NA,0.402065327197216,NA,NA,NA,-0.84701829412646,"2003","billings","TN","Corn",35.775237,-85.903419,62
